programa_id,nombre,categoria
386,MOTOSIERRA,
387,REMOLQUE GANADERO,
388,CARRETILLA Y HERRAMIENTAS,
389,KIT DE HUERTO DE TRASPATIO,
390,REMOLQUE CAMA BAJA 6 TON,
391,PAQUETE DE HERRAMIENTAS,
392,REMOLQUE PARA USO PRODUCTIVO,
393,CISTERNA 10000 LTS,
394,REMOLQUE GANADERO 5X10,
395,CISTERNA 3000 LTS,
396,TRACTOR PODADOR,
397,SRT: SISTEMA DE RIEGO POR ASPERSIÓN,
398,REMOLQUE CAMA BAJA 3 TON,
399,CISTERNA 5000 LTS,
400,REHABILITACIÓN DE OLLA PARA ALMACENAMIENTO DE AGUA,
401,SEMENTALES OVINO CON REGISTRO,
402,SUBSOLADOR,
403,EQUIPO PARA TRANSFORMACIÓN DE ENERGÍA,
404,ABEJA REINA COMERCIAL,
405,EMBRIONES OVINO,
406,DEPOSITO DE AGUA CON TAPA,
407,EMBRIONES,
408,MAÍZ,
409,SEMILLA DE ESPÁRRAGO,
410,SISTEMA DE RIEGO POR MULTICOMPUERTA,
411,SRT: TECNIFICACIÓN DE SISTEMA DE DISTRIBUCIÓN DE AGUA,
412,LINEAS DE CONDUCCION DE AGUA,
413,CONSTRUCCION E IMPERMEABILIZACION DE EMBALSE DE 40M DE LARGO X 30M DE ANCHO X 4.5 M DE ALTO,
414,MOTO REMOLQUE,
415,SALA DE ORDEÑA,
416,ARADO,
417,KIT AGRICOLA,
418,EQUIPAMIENTO PARA COSECHA DE AGUA DE LLUVIA,
419,SISTEMA DE ESPALDERAS,
420,INTERCEPA,
421,SEMOVIENTES Y MATERIAL GENETICO,
422,TECNIFICACIÓN DE SISTEMA DE DISTRIBUCIÓN DE AGUA,
423,GEOMEMBRANA HDPE,
424,KIT PRODUCCIÓN PEQUEÑA ESCALA,
425,SEGADORA ACONDICIONADORA,
426,AIREADOR,
427,PRENSA GANADERA,
428,TINACOS PARA USO AGROPECUARIO + PAQUETE DE HERRAMIENTAS,
429,SISTEMA DE COSECHA DE AGUA DE LLUVIA (AREA DE CAPTACION),
430,PROYECTOS ESTRATEGICOS AGRICOLA,
431,"TINACO 5,000 LTS",
432,"TINACO DE 10,000 LTS",
433,DEPÓSITO DE GEOMEMBRANA,
434,SRT: RIEGO POR MULTICOMPUERTAS Y/O LINEAS DE CONDUCCION HIDRATANTES.,
435,CONSTRUCCIÓN DE MACROTÚNEL,
436,JAULAS DE USO PECUARIO (CONEJOS),
